1 Fitness= 44840 Best= 54740
10001 Fitness= 47940 Best= 33650
20001 Fitness= 39870 Best= 30830
30001 Fitness= 44790 Best= 30830
40001 Fitness= 50040 Best= 30830
50001 Fitness= 45700 Best= 30830
60001 Fitness= 46800 Best= 30830
70001 Fitness= 45920 Best= 30830
80001 Fitness= 54130 Best= 30830
90001 Fitness= 46910 Best= 30830
100000 Fitness= 51140 Best= 30830


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
10013	2	1
9205	6	1
9206	3	1
8885	2	1
9245	6	2
9246	5	2
9887	4	3
9505	2	1
9976	3	1
10062	3	1
9989	3	1
10248	3	1
10249	2	1
10508	3	2
19	1	9999	4	4
20	3	9105	1	1
21	1	10667	1	1
22	5	9788	1	1
23	3	10527	4	1
24	5	10248	4	1
25	2	9265	3	4
26	3	9999	4	4
27	4	10088	1	4
28	4	10127	2	4
29	1	10347	8	7
30	2	9689	5	1
31	2	9992	4	1
32	1	9992	4	1
33	4	10271	1	4
34	3	9245	12	2
35	2	10607	2	1
36	2	9225	1	2
37	3	9245	12	2
38	1	9245	12	2
39	3	9624	4	2
40	3	9245	12	2
41	4	10347	8	7
42	1	9426	6	5
43	1	10807	1	1
44	4	9405	2	1
45	4	10470	1	2
46	5	9787	1	2
47	4	9007	1	3
48	3	9991	1	1
49	5	9206	1	1
50	5	9667	5	2
51	4	10567	1	1
52	5	9489	1	2
53	4	10023	1	2
54	4	9667	5	2
55	2	10472	2	4
56	3	9912	3	1
57	1	10259	1	2
58	4	9989	3	1
59	2	9249	1	1
60	1	9992	4	1
61	5	10248	4	1
62	1	10032	1	1
63	1	10347	8	7
64	1	10347	8	7
65	5	9827	5	1
66	5	9265	3	4
67	5	9827	5	1
68	2	9245	12	2
69	3	9245	12	2
70	1	9624	4	2
71	5	10527	4	1
72	4	10187	3	1
73	4	9245	12	2
74	1	10347	8	7
75	2	10064	1	2
76	3	10055	1	2
77	1	10046	2	4
78	3	8825	1	1
79	2	9827	5	1
80	5	9983	1	1
81	5	9827	5	1
82	4	9245	12	2
83	4	8885	1	1
84	3	10030	2	2
85	1	9689	5	1
86	5	10527	4	1
87	4	10331	1	1
88	1	10347	8	7
89	1	9689	5	1
90	4	9205	3	1
91	2	9968	2	1
92	1	9667	5	2
93	5	9999	4	4
94	1	10367	1	1
95	3	9426	6	5
96	1	9205	3	1
97	3	9827	5	1
98	5	9426	6	5
99	2	9347	1	3
100	4	10472	2	4
101	3	9245	12	2
102	2	9565	2	1
103	2	10507	1	1
104	1	9667	5	2
105	1	10347	8	7
106	1	10013	1	1
107	1	9627	1	1
108	1	10747	1	1
109	5	9505	1	1
110	3	10261	1	1
111	1	10170	1	1
112	2	9446	2	1
113	4	10388	1	1
114	5	9325	1	1
115	3	9989	3	1
116	4	9982	3	2
117	4	9647	1	1
118	5	10025	1	1
119	5	9624	4	2
120	5	9613	1	1
121	1	10001	1	3
122	4	10527	4	1
123	2	9999	4	4
124	4	9622	1	1
125	3	9446	2	1
126	5	10030	2	2
127	3	9426	6	5
128	5	9976	1	1
129	1	9912	3	1
130	3	9207	1	1
131	5	9465	1	1
132	1	9208	1	1
133	5	10187	3	1
134	1	10508	4	2
135	1	10508	4	2
136	3	9245	12	2
137	4	10012	1	1
138	1	9912	3	1
139	2	9245	12	2
140	3	9667	5	2
141	2	10248	4	1
142	5	9405	2	1
143	1	9689	5	1
144	2	9982	3	2
145	5	9387	1	1
146	3	9245	12	2
147	1	10127	2	4
148	4	9426	6	5
149	2	9689	5	1
150	1	10347	8	7
151	2	9389	1	1
152	3	9565	2	1
153	4	10508	4	2
154	1	10787	1	1
155	4	9205	3	1
156	3	9688	1	1
157	1	10248	4	1
Summary details:
#violations= 50
fitness= 53010
43 students got their choice 1 project
21 students got their choice 2 project
29 students got their choice 3 project
34 students got their choice 4 project
30 students got their choice 5 project
1 Fitness= 40780 Best= 50170
10001 Fitness= 48600 Best= 31290
20001 Fitness= 43790 Best= 31290
30001 Fitness= 43960 Best= 31290
40001 Fitness= 49830 Best= 31290
50001 Fitness= 56150 Best= 31290
60001 Fitness= 41130 Best= 31290
70001 Fitness= 48890 Best= 30800
80001 Fitness= 41970 Best= 30800
90001 Fitness= 39170 Best= 30800
100000 Fitness= 39700 Best= 30800


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
9205	2	1
9206	3	1
8885	2	1
10025	2	1
9689	5	1
9947	2	1
9787	3	2
9968	2	1
9245	6	2
9246	6	2
9249	2	1
9426	6	5
10248	2	1
9265	5	4
10508	3	2
9992	2	1
10527	2	1
9827	9	1
9912	2	1
10567	2	1
Complete List of Project Allocations Made:
STUDENT	CHOICE	PRJ_ID	N_ALLOC	MAX
1	2	10471	1	1
2	3	9688	1	1
3	1	10767	1	1
4	2	10037	1	2
5	3	10015	1	1
6	2	10013	1	1
7	1	10587	1	1
8	4	10508	3	2
9	3	9982	2	2
10	1	10088	2	4
11	2	9612	1	1
12	2	10147	1	2
13	1	10607	1	1
14	5	9787	3	2
15	2	10647	1	1
16	2	9827	9	1
17	3	9912	2	1
18	4	9365	1	1
19	5	10508	3	2
20	4	9248	1	1
21	1	10667	1	1
22	2	8826	1	1
23	1	9007	2	3
24	3	9689	5	1
25	2	9265	5	4
26	5	9265	5	4
27	4	10088	2	4
28	3	10025	2	1
29	1	10347	7	7
30	4	10248	2	1
31	4	9426	6	5
32	1	9992	2	1
33	4	10271	1	4
34	3	9245	6	2
35	4	9827	9	1
36	5	9689	5	1
37	4	10567	2	1
38	5	10001	1	3
39	3	9624	2	2
40	2	9827	9	1
41	1	9667	2	2
42	2	10107	1	4
43	1	10807	1	1
44	2	9827	9	1
45	1	9787	3	2
46	4	10527	2	1
47	3	9005	1	1
48	5	10427	1	2
49	5	9206	3	1
50	5	9667	2	2
51	2	9545	1	1
52	5	9489	1	2
53	3	10547	1	1
54	5	9827	9	1
55	2	10472	2	4
56	5	8646	1	1
57	4	9007	2	3
58	5	9205	2	1
59	2	9249	2	1
60	5	9209	1	1
61	2	9249	2	1
62	1	10032	1	1
63	1	10347	7	7
64	1	10347	7	7
65	3	9728	1	2
66	5	9265	5	4
67	4	10472	2	4
68	3	9265	5	4
69	1	9827	9	1
70	4	9245	6	2
71	3	9246	6	2
72	3	9426	6	5
73	4	9245	6	2
74	1	10347	7	7
75	2	10064	1	2
76	2	9947	2	1
77	1	10046	2	4
78	2	9426	6	5
79	4	9246	6	2
80	5	9983	1	1
81	3	9245	6	2
82	1	9827	9	1
83	1	9887	1	3
84	3	10030	1	2
85	3	10127	1	4
86	5	10527	2	1
87	4	10331	1	1
88	1	10347	7	7
89	1	9689	5	1
90	3	9206	3	1
91	1	9982	2	2
92	2	9689	5	1
93	5	9999	3	4
94	1	10367	1	1
95	3	9426	6	5
96	4	10046	2	4
97	1	9246	6	2
98	1	8825	1	1
99	5	10022	1	2
100	5	9171	1	1
101	1	9984	1	1
102	2	9565	1	1
103	2	10507	1	1
104	5	9787	3	2
105	1	10347	7	7
106	2	10000	1	1
107	1	9627	1	1
108	1	10747	1	1
109	5	9505	1	1
