63	1	10347	7	7
64	1	10347	7	7
65	1	9565	1	1
66	4	9389	1	1
67	3	9265	4	4
68	1	9827	2	1
69	1	9827	2	1
70	1	9624	3	2
71	1	9976	3	1
72	5	10472	3	4
73	5	10567	1	1
74	1	10347	7	7
75	1	10046	2	4
76	2	9947	1	1
77	1	10046	2	4
78	1	9887	3	3
79	1	9245	4	2
80	1	10010	1	1
81	1	9999	4	4
82	3	8985	1	1
83	2	10332	1	1
84	1	9887	3	3
85	2	10039	1	2
86	1	9245	4	2
87	1	10013	1	1
88	1	10347	7	7
89	2	10025	1	1
90	1	10127	3	4
91	2	9968	1	1
92	1	9667	3	2
93	2	9627	1	1
94	1	10367	1	1
95	1	8825	1	1
96	3	9007	3	3
97	1	9246	6	2
98	4	10472	3	4
99	1	10627	1	1
100	1	10062	1	1
101	1	9984	1	1
102	1	9226	2	2
103	1	10508	2	2
104	2	9689	1	1
105	1	10347	7	7
106	2	10000	1	1
107	2	10002	1	1
108	1	10747	1	1
109	2	9007	3	3
110	5	9485	2	2
111	1	10170	1	1
112	1	9306	1	1
113	1	10707	1	1
114	5	9325	1	1
115	5	9967	1	1
116	1	9245	4	2
117	1	9006	3	3
118	1	10128	1	1
119	1	9246	6	2
120	2	9619	1	1
121	1	10001	2	3
122	2	9206	1	1
123	2	9999	4	4
124	1	9927	1	1
125	1	8885	1	1
126	1	9912	2	1
127	5	9611	1	1
128	1	9246	6	2
129	4	10547	1	1
130	2	9007	3	3
131	1	10045	1	2
132	4	10331	1	1
133	5	10187	1	1
134	4	10107	2	4
135	1	10508	2	2
136	1	9624	3	2
137	3	9789	1	1
138	2	9426	5	5
139	1	9976	3	1
140	2	9787	2	2
141	3	9972	1	1
142	1	9246	6	2
143	3	10056	1	1
144	4	9485	2	2
145	1	10048	1	1
146	1	9976	3	1
147	1	10127	3	4
148	1	9613	1	1
149	1	9405	1	1
150	1	10347	7	7
151	1	9465	1	1
152	1	9246	6	2
153	2	9006	3	3
154	1	10787	1	1
155	1	10687	1	2
156	2	10107	2	4
157	2	9887	3	3
Summary details:
#violations= 12
fitness= 13180
99 students got their choice 1 project
27 students got their choice 2 project
11 students got their choice 3 project
11 students got their choice 4 project
9 students got their choice 5 project
gc=1
1 Fitness= 47070 Best= 47070
10001 Fitness= 12480 Best= 12480
20001 Fitness= 12460 Best= 12460
30001 Fitness= 12460 Best= 12460
40001 Fitness= 12460 Best= 12460
50001 Fitness= 12410 Best= 12410
60001 Fitness= 12410 Best= 12410
70001 Fitness= 12410 Best= 12410
80001 Fitness= 12410 Best= 12410
90001 Fitness= 12410 Best= 12410
100001 Fitness= 12410 Best= 12410
110001 Fitness= 12410 Best= 12410
120001 Fitness= 12370 Best= 12370
130001 Fitness= 12370 Best= 12370
140001 Fitness= 12370 Best= 12370
150001 Fitness= 12370 Best= 12370
160001 Fitness= 12370 Best= 12370
170001 Fitness= 12370 Best= 12370
180001 Fitness= 12370 Best= 12370
190001 Fitness= 12350 Best= 12350
200001 Fitness= 12350 Best= 12350
210001 Fitness= 12350 Best= 12350
220001 Fitness= 12350 Best= 12350
230001 Fitness= 12350 Best= 12350
240001 Fitness= 12350 Best= 12350
250001 Fitness= 12350 Best= 12350
260001 Fitness= 12350 Best= 12350
270001 Fitness= 12350 Best= 12350
280001 Fitness= 12350 Best= 12350
290001 Fitness= 12350 Best= 12350
300001 Fitness= 12350 Best= 12350
310001 Fitness= 12350 Best= 12350
320001 Fitness= 12350 Best= 12350
330001 Fitness= 12350 Best= 12350
340001 Fitness= 12350 Best= 12350
350001 Fitness= 12350 Best= 12350
360001 Fitness= 12350 Best= 12350
370001 Fitness= 12350 Best= 12350
380001 Fitness= 12350 Best= 12350
390001 Fitness= 12350 Best= 12350
400001 Fitness= 12350 Best= 12350
410001 Fitness= 12350 Best= 12350
420001 Fitness= 12350 Best= 12350
430001 Fitness= 12350 Best= 12350
440001 Fitness= 12350 Best= 12350
450001 Fitness= 12350 Best= 12350
460001 Fitness= 12350 Best= 12350
470001 Fitness= 12350 Best= 12350
480001 Fitness= 12350 Best= 12350
490001 Fitness= 12350 Best= 12350
500000 Fitness= 12350 Best= 12350


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
9245	3	2
9246	7	2
9976	3	1
9624	3	2
9912	2	1
9667	3	2
Complete List of Project Allocations Made:
STUDENT	CHOICE	PRJ_ID	N_ALLOC	MAX
1	1	9426	5	5
2	1	9911	1	1
3	1	10767	1	1
4	1	9166	1	2
5	2	10327	3	4
6	3	8826	1	1
7	4	9265	4	4
8	1	9426	5	5
9	1	10607	1	1
10	1	10088	1	4
11	1	10044	1	1
12	1	9996	1	1
13	3	9426	5	5
14	1	9667	3	2
15	1	10253	1	1
16	1	9246	7	2
17	1	10022	2	2
18	1	10327	3	4
19	2	10012	1	1
20	3	9105	1	1
21	1	10667	1	1
22	1	9528	1	1
23	1	9007	3	3
24	2	9999	4	4
25	1	9426	5	5
26	1	9246	7	2
27	1	10271	2	4
28	1	10016	1	1
29	1	10347	7	7
30	3	9225	2	2
31	1	9993	1	1
32	1	9992	1	1
33	4	10271	2	4
34	2	9982	2	2
35	1	9209	1	1
36	2	9225	2	2
37	1	9912	2	1
38	1	9245	3	2
39	2	9688	1	1
40	1	9246	7	2
41	2	10030	2	2
42	2	10107	2	4
43	1	10807	1	1
44	1	9667	3	2
